task_id,set,price_usd,k27_q2_2bit,kimik3_reap640_iq1s,kimik3_reap576_iq2xxs,kimik3_streamed896_iq2xxs_18000s,kimik3_streamed896_iq2xxs_18000s_attempt2,qwen38_a95b_udiq1s_10800s,qwen38_reap256_iq1s_10800s
28096_836,sanity3,500.0,pass,pass,pass,pass,,fail,pass
18827_741,sanity3,1000.0,pass,pass,pass,pass,,pass,pass
29618_781,sanity3,500.0,pass,pass,pass,pass,,pass,pass
14294,hard5,4000.0,fail,timeout,pass,fail,pass,pass,fail
24508_791,hard5,1000.0,fail,pass,pass,pass,,pass,fail
15815_1,hard5,4000.0,fail,timeout,pass,fail,pass,pass,fail
27353_776,hard5,500.0,fail,pass,timeout,pass,,pass,fail
15925,hard5,2000.0,fail,timeout,pass,fail,pass,running,fail
29916_609,extended16,500.0,fail,timeout,timeout,timeout,,,
6883,extended16,32000,fail,pass,fail,pass,,,
43395_530,extended16,250.0,fail,timeout,pass,pass,,,
25901_945,extended16,2000.0,fail,timeout,pass,not_run,,,
40259_1089,extended16,500.0,fail,timeout,timeout,not_run,,,
18746_833,extended16,1000.0,fail,timeout,timeout,not_run,,,
4324,extended16,2000.0,fail,timeout,pass,not_run,,,
44429_1100,extended16,250.0,fail,pass,timeout,not_run,,,
40208_1108,extended16,500.0,fail,timeout,timeout,not_run,,,
44618_1007,extended16,250.0,fail,timeout,timeout,not_run,,,
19132_872,extended16,1000.0,fail,not_run,pass,not_run,,,
41885_1134,extended16,500.0,fail,not_run,pass,not_run,,,
50064_846,extended16,250.0,fail,not_run,timeout,not_run,,,
50314_790,extended16,250.0,fail,not_run,fail,not_run,,,
37688_441,extended16,500.0,fail,not_run,timeout,not_run,,,
44040_470,extended16,250.0,fail,not_run,pass,not_run,,,
