task_id,set,price_usd,gemma4_31b_nvfp4_pi_promptv1,qwen38_27b_bf16_pi_promptv1,qwen38_27b_bf16_qwencode_promptv1,qwen38_27b_nvfp4_qwencode_promptv1
28096_836,sanity3,500.0,pass,pass,pass,pass
18827_741,sanity3,1000.0,fail,pass,pass,pass
29618_781,sanity3,500.0,pass,pass,pass,pass
14294,hard5,4000.0,pass,pass,pass,pass
24508_791,hard5,1000.0,pass,pass,pass,pass
15815_1,hard5,4000.0,fail,pass,pass,pass
27353_776,hard5,500.0,fail,fail,pass,pass
15925,hard5,2000.0,pass,fail,pass,pass
29916_609,extended16,500.0,fail,pass,fail,pass
6883,extended16,32000,fail,pass,pass,pass
43395_530,extended16,250.0,fail,fail,pass,pass
25901_945,extended16,2000.0,fail,fail,pass,pass
40259_1089,extended16,500.0,fail,pass,pass,pass
18746_833,extended16,1000.0,fail,pass,pass,pass
4324,extended16,2000.0,fail,fail,pass,pass
44429_1100,extended16,250.0,fail,pass,pass,pass
40208_1108,extended16,500.0,fail,pass,pass,fail
44618_1007,extended16,250.0,pass,fail,fail,pass
19132_872,extended16,1000.0,pass,pass,pass,pass
41885_1134,extended16,500.0,fail,fail,fail,pass
50064_846,extended16,250.0,fail,pass,fail,pass
50314_790,extended16,250.0,fail,pass,fail,pass
37688_441,extended16,500.0,fail,pass,pass,fail
44040_470,extended16,250.0,fail,pass,pass,pass
