task_id,result,earned,run_dir
15108,pass,2000.0,runs/2026-08-19T00-32-55-GMT_run-group_qwen-cli/
15193,fail,0.0,runs/2026-08-19T01-08-54-GMT_run-group_qwen-cli/
16912_4,fail,0.0,runs/2026-08-19T01-35-38-GMT_run-group_qwen-cli/
18157_893,pass,1000.0,runs/2026-08-19T01-45-37-GMT_run-group_qwen-cli/
18207_923,pass,1000.0,runs/2026-08-19T01-58-42-GMT_run-group_qwen-cli/
18230_905,fail,0.0,runs/2026-08-19T02-56-55-GMT_run-group_qwen-cli/
18659_831,pass,1000.0,runs/2026-08-19T03-25-31-GMT_run-group_qwen-cli/
25640_655,pass,1000.0,runs/2026-08-19T03-56-04-GMT_run-group_qwen-cli/
26228_719,pass,1000.0,runs/2026-08-19T04-04-10-GMT_run-group_qwen-cli/
28663_630,pass,500.0,runs/2026-08-19T04-29-38-GMT_run-group_qwen-cli/
29854_602,fail,0.0,runs/2026-08-19T04-37-49-GMT_run-group_qwen-cli/
29900_697,pass,500.0,runs/2026-08-19T04-40-23-GMT_run-group_qwen-cli/
30138_663,pass,500.0,runs/2026-08-19T04-56-08-GMT_run-group_qwen-cli/
30195_650,pass,500.0,runs/2026-08-19T05-03-16-GMT_run-group_qwen-cli/
32236_652,fail,0.0,runs/2026-08-19T05-15-42-GMT_run-group_qwen-cli/
37656_955,pass,500.0,runs/2026-08-19T06-54-39-GMT_run-group_qwen-cli/
38130_971,pass,500.0,runs/2026-08-19T08-11-06-GMT_run-group_qwen-cli/
39848_1045,fail,0.0,runs/2026-08-19T08-26-57-GMT_run-group_qwen-cli/
39909_632,fail,0.0,runs/2026-08-19T09-13-26-GMT_run-group_qwen-cli/
40250_1042,fail,0.0,runs/2026-08-19T10-52-51-GMT_run-group_qwen-cli/
41523_814,fail,0.0,runs/2026-08-19T11-27-03-GMT_run-group_qwen-cli/
41610_578,pass,250.0,runs/2026-08-19T00-33-10-GMT_run-group_qwen-cli/
42007_1137,fail,0.0,runs/2026-08-19T01-29-07-GMT_run-group_qwen-cli/
42153_910,fail,0.0,runs/2026-08-19T03-03-26-GMT_run-group_qwen-cli/
42284_635,fail,0.0,runs/2026-08-19T03-30-08-GMT_run-group_qwen-cli/
42530_621,pass,250.0,runs/2026-08-19T03-46-56-GMT_run-group_qwen-cli/
42934_932,fail,0.0,runs/2026-08-19T04-55-41-GMT_run-group_qwen-cli/
43126_1046,fail,0.0,runs/2026-08-19T05-08-14-GMT_run-group_qwen-cli/
44152_1098,pass,250.0,runs/2026-08-19T05-16-45-GMT_run-group_qwen-cli/
44213_1005,fail,0.0,runs/2026-08-19T06-37-51-GMT_run-group_qwen-cli/
44235_908,pass,250.0,runs/2026-08-19T06-44-54-GMT_run-group_qwen-cli/
44336_1047,pass,250.0,runs/2026-08-19T06-52-29-GMT_run-group_qwen-cli/
44728_421,fail,0.0,runs/2026-08-19T08-37-31-GMT_run-group_qwen-cli/
45941_1113,fail,0.0,runs/2026-08-19T09-12-41-GMT_run-group_qwen-cli/
46344_753,fail,0.0,runs/2026-08-19T09-24-28-GMT_run-group_qwen-cli/
47050_1025,pass,250.0,runs/2026-08-19T09-37-07-GMT_run-group_qwen-cli/
47282_643,pass,250.0,runs/2026-08-19T09-55-48-GMT_run-group_qwen-cli/
49492_670,fail,0.0,runs/2026-08-19T10-27-44-GMT_run-group_qwen-cli/
49840_659,fail,0.0,runs/2026-08-19T11-29-11-GMT_run-group_qwen-cli/
