task_id,result,earned,run_dir
12155_1,pass,4000.0,runs/2026-08-18T04-57-18-GMT_run-group_qwen-cli/
13066_1,pass,2000.0,runs/2026-08-18T20-02-38-GMT_run-group_qwen-cli/
14127,pass,8000.0,runs/2026-08-18T23-24-55-GMT_run-group_qwen-cli/
14223_1,pass,4000.0,runs/2026-08-18T21-41-02-GMT_run-group_qwen-cli/
14268,pass,2000.0,runs/2026-08-18T06-02-38-GMT_run-group_qwen-cli/
14340,pass,4000.0,runs/2026-08-18T15-30-56-GMT_run-group_qwen-cli/
14857,pass,4000.0,runs/2026-08-18T10-18-43-GMT_run-group_qwen-cli/
14958,pass,8000.0,runs/2026-08-18T06-26-37-GMT_run-group_qwen-cli/
15108,fail,0.0,runs/2026-08-18T20-51-43-GMT_run-group_qwen-cli/
15193,fail,0.0,runs/2026-08-18T17-41-46-GMT_run-group_qwen-cli/
15289_1,pass,8000.0,runs/2026-08-18T04-32-56-GMT_run-group_qwen-cli/
15321,pass,2000.0,runs/2026-08-18T22-29-58-GMT_run-group_qwen-cli/
16912_4,fail,0.0,runs/2026-08-17T20-10-13-GMT_run-group_qwen-cli/
16921_1,pass,4000.0,runs/2026-08-18T00-21-33-GMT_run-group_qwen-cli/
17387_1,pass,4000.0,runs/2026-08-17T20-31-45-GMT_run-group_qwen-cli/
18157_893,fail,0.0,runs/2026-08-18T17-26-05-GMT_run-group_qwen-cli/
18207_923,fail,0.0,runs/2026-08-18T22-28-48-GMT_run-group_qwen-cli/
18230_905,fail,0.0,runs/2026-08-18T05-10-19-GMT_run-group_qwen-cli/
18641_837,pass,1000.0,runs/2026-08-17T22-13-58-GMT_run-group_qwen-cli/
18647_838,pass,1000.0,runs/2026-08-18T21-47-55-GMT_run-group_qwen-cli/
18659_831,fail,0.0,runs/2026-08-18T15-26-33-GMT_run-group_qwen-cli/
18660_869,pass,1000.0,runs/2026-08-19T00-21-20-GMT_run-group_qwen-cli/
18891_881,pass,500.0,runs/2026-08-18T14-34-18-GMT_run-group_qwen-cli/
18909_734,pass,1000.0,runs/2026-08-18T00-49-32-GMT_run-group_qwen-cli/
18910_733,pass,1000.0,runs/2026-08-18T02-16-13-GMT_run-group_qwen-cli/
19022_888,pass,1000.0,runs/2026-08-18T06-53-37-GMT_run-group_qwen-cli/
19023_868,pass,1000.0,runs/2026-08-18T10-08-22-GMT_run-group_qwen-cli/
19135_873,pass,1000.0,runs/2026-08-17T20-45-08-GMT_run-group_qwen-cli/
19362_850,pass,1000.0,runs/2026-08-18T05-40-41-GMT_run-group_qwen-cli/
